era,year,gap,dist_last_h,adj_opp_h,adj_own_h,is_corner_open_h,dens_delta_h,dist_last_kg,adj_opp_kg,adj_own_kg,is_corner_open_kg,dens_delta_kg,katago_winrate,katago_top1_prior
E2,2019,0.0,0.07071067811865475,0.0,0.5,0.0,0.0,0.07071067811865475,0.0,0.5,0.0,0.0,0.417748796,0.981543005
E2,2021,1.0801336082629585,0.1118033988749895,0.0,0.0,0.0,0.0,0.07071067811865475,0.25,0.25,1.0,-0.2,0.825431558,0.267053962
E2,2020,0.3774917217635375,0.3,0.25,0.0,0.0,0.1,0.1,0.0,0.0,0.0,-0.1,0.500841511,0.0836606622
E2,2021,0.0,0.05,0.25,0.25,1.0,0.0,0.05,0.25,0.25,1.0,0.0,0.404321583,0.997369289
E2,2020,0.0,0.1118033988749895,0.25,0.25,0.0,0.0,0.1118033988749895,0.25,0.25,0.0,0.0,0.356704236,0.312137932
E2,2020,0.0,0.1,0.0,0.0,0.0,-0.1,0.1,0.0,0.0,0.0,-0.1,0.511886862,0.463424295
E2,2020,0.0,0.07071067811865475,0.0,0.5,1.0,-0.2,0.07071067811865475,0.0,0.5,1.0,-0.2,0.460891724,0.905078053
E2,2020,0.26655537877156266,0.31622776601683794,0.0,0.0,0.0,-0.3,0.4924428900898052,0.0,0.0,0.0,-0.1,0.536524947,0.172550872
E2,2018,0.0,0.31622776601683794,0.0,0.0,0.0,0.0,0.31622776601683794,0.0,0.0,0.0,0.0,0.741208242,0.144448534
E2,2018,0.44255604872961124,0.4743416490252569,0.25,0.25,0.0,0.1,0.65,0.0,0.0,0.0,-0.1,0.428518397,0.401928008
E2,2021,0.0,0.1,0.0,0.5,0.0,-0.1,0.1,0.0,0.5,0.0,-0.1,0.467213136,0.954111099
E2,2020,0.0,0.1,0.25,0.25,1.0,-0.1,0.1,0.25,0.25,1.0,-0.1,0.401487451,0.466333628
E2,2018,0.0,0.05,0.25,0.0,1.0,0.3,0.05,0.25,0.0,1.0,0.3,0.517746749,0.995122015
E2,2018,0.0,0.1,0.0,0.25,0.0,-0.2,0.1,0.0,0.25,0.0,-0.2,0.842978917,0.566243827
E2,2018,0.30413812651491096,0.1414213562373095,0.25,0.0,0.0,-0.2,0.282842712474619,0.0,0.0,0.0,-0.1,0.475600248,0.243023127
